"target","MCDIp"
"cracker",0.969162995594714
"crayon",0.947136563876652
"crib",0.79295154185022
"cry",0.938325991189427
"cup",0.964757709251101
"cut",0.814977973568282
"cute",0.669603524229075
"daddy",0.995594713656388
"dance",0.916299559471366
"dark",0.814977973568282
"day",0.599118942731278
"deer",0.704845814977974
"diaper",0.955947136563877
"did",0.73568281938326
"dinner",0.86784140969163
"dirty",0.955947136563877
"dish",0.722466960352423
"do",0.841409691629956
"doctor",0.894273127753304
"does",0.409691629955947
"dog",0.977973568281938
"doll",0.881057268722467
"donkey",0.519823788546256
"donut",0.748898678414097
"door",0.973568281938326
"down",0.94273127753304
"downtown",0.273127753303965
"draw",0.845814977973568
"drawer",0.740088105726872
"dress",0.819383259911894
"drink",0.94273127753304
"drive",0.885462555066079
"drop",0.837004405286344
"dry",0.79295154185022
"dryer",0.687224669603524
"duck",0.977973568281938
"dump",0.515418502202643
"each",0.202643171806167
"ear",0.973568281938326
"eat",0.969162995594714
"egg",0.929515418502203
"elephant",0.955947136563877
"empty",0.762114537444934
"every",0.343612334801762
"eye",0.982378854625551
"face",0.898678414096916
"fall",0.955947136563877
"farm",0.634361233480176
"fast",0.832599118942731
"feed",0.797356828193833
"find",0.841409691629956
"fine",0.533039647577093
"finger",0.947136563876652
"finish",0.651982378854626
"fireman",0.73568281938326
"firetruck",0.876651982378855
"first",0.6784140969163
"fish",0.969162995594714
"fit",0.616740088105727
"fix",0.863436123348018
"flag",0.801762114537445
"flower",0.969162995594714
"food",0.894273127753304
"foot",0.982378854625551
"for",0.669603524229075
"fork",0.947136563876652
"friend",0.788546255506608
"frog",0.947136563876652
"full",0.79295154185022
"game",0.819383259911894
"garage",0.766519823788546
"garbage",0.748898678414097
"garden",0.568281938325991
"gentle",0.638766519823789
"get",0.885462555066079
"giraffe",0.837004405286344
"girl",0.885462555066079
"give",0.814977973568282
"glass",0.806167400881057
"glasses",0.854625550660793
"gloves",0.674008810572687
"glue",0.621145374449339
"go",0.969162995594714
"gonna",0.700440528634361
"good",0.903083700440529
"goose",0.599118942731278
"gotta",0.458149779735683
"grandma",0.977973568281938
"granpa",0.929515418502203
"grapes",0.951541850220264
"grass",0.938325991189427
"green",0.889867841409692
"grrr",0.894273127753304
"gum",0.766519823788546
"hafta",0.581497797356828
"hair",0.969162995594714
"hamburger",0.889867841409692
"hammer",0.784140969162996
